,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11,encoded_12,encoded_13,encoded_14,encoded_15,encoded_16,encoded_17,encoded_18,encoded_19,encoded_20,encoded_21,encoded_22,encoded_23,encoded_24,encoded_25,encoded_26,encoded_27,encoded_28,encoded_29,encoded_30,ccl_name
185,11.736953,4.725016,0.0,0.0,0.0,15.253433,0.0,0.0,0.0,7.0037847,0.0,0.0,0.0,0.0,0.0,0.0,39.138744,0.0,22.275187,42.880978,0.0,0.0,0.0,0.0,0.0,0.0,23.09969,3.2754579,0.0,0.0,ACH-001654
186,0.0,0.0,0.0,0.0,0.0,47.15512,0.0,0.0,2.3278744,11.530874,0.0,0.0,0.0,0.0,0.0,0.0,83.69542,0.0,89.943695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.758675,0.0,0.0,0.0,ACH-001521
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7084184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-002967
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.277767,0.0,0.0,0.0,0.0,24.201336,17.555906,0.0,0.0,0.0,45.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000209
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.284256,ACH-001520
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.752853,0.0,0.0,0.0,0.0,0.0,0.0,62.400826,0.0,0.0,37.166634,0.0,5.625618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000213
191,16.506113,36.49267,14.104676,0.0,0.0,29.74177,0.0,17.648664,0.0,0.0,2.9966135,3.4306731,0.0,0.0,0.0,4.322978,12.40575,0.0,0.0,0.0,0.0,0.0,0.0,34.901897,0.0,3.9610615,24.026287,14.313274,18.932844,0.0,ACH-001610
192,0.0,17.858568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29972,0.0,0.0,0.0,0.0,0.0,0.0,80.64016,0.0,0.0,25.489498,0.0,5.8099213,0.0,0.0,0.0,0.0,35.208725,0.0,0.0,0.0,ACH-001408
193,0.0,0.004287197,0.0,0.0,0.0,0.0,0.0,1.0334177,55.351967,0.0,28.659777,42.98989,0.0,24.409683,50.827362,12.032738,0.0,0.0,0.21176292,0.0,0.0,0.0,0.0,0.0,0.07865345,0.0,65.32942,4.527867,0.0,0.0,ACH-000991
194,7.7476892,11.081303,10.635026,0.0,0.0,24.845535,0.0,0.0,0.0,11.4946995,46.517113,0.0,0.0,3.2191315,0.0,1.7509485,33.46295,0.0,7.667726,0.0,3.331473,0.0,0.0,0.0,0.0,11.725495,38.503815,19.008932,0.0,0.0,ACH-001412
195,30.348726,0.0,7.079773,0.0,0.0,0.0,0.0,14.911572,0.0,15.544855,3.917875,0.0,0.0,0.0,0.0,1.4450678,0.0,0.0,21.956642,0.0,0.0,0.0,0.0,4.3834844,9.774702,0.0,18.357365,3.0450788,0.0,0.0,ACH-000331
196,16.875378,0.0,0.0,0.0,0.0,51.804234,0.0,0.0,0.0,36.369373,0.0,0.0,0.0,0.0,0.0,0.0,11.510091,0.0,27.170563,2.199157,0.0,0.0,0.0,0.0,0.0,0.0,22.2378,6.4956036,0.0,0.0,ACH-001407
197,0.0,22.564268,0.0,1.3061265,0.0,21.026035,0.0,24.394724,0.0,17.269817,0.0,0.0,0.0,0.0,0.0,2.377989,0.0,17.771969,0.0,0.0,0.0,0.0,0.0,7.38599,49.07884,0.0,22.251022,10.567998,45.438522,0.0,ACH-000580
198,0.0,8.393436,31.945332,21.99077,0.0,19.045935,0.0,9.514547,1.3218172,0.0,71.763245,51.32822,0.0,0.0,0.0,0.0,0.0,66.72808,0.0,0.0,0.0,0.0,0.0,0.1853142,21.177519,12.503001,39.36646,30.486002,0.0,0.0,ACH-000594
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000684
200,43.856495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.441334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.004954,0.0,53.42588,0.0,58.672302,0.0,0.0,0.0,0.0,65.297935,0.0,ACH-000742
201,0.0,14.30127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4473674,0.0,0.0,0.0,0.0,0.0,0.0,21.619747,0.0,0.0,26.147846,0.0,17.557285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000868
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.582615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000732
203,0.0,42.996124,0.0,0.0,27.153875,9.41256,25.515629,18.685513,0.0,12.568921,28.134682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.587887,0.0,54.44164,0.0,0.0,26.407207,0.0,ACH-001481
