"","TCGA-02-0055","TCGA-04-1332"
"IVNS1ABP",6.43,5.18
"IWS1",5.2,4.3
"IYD",0,0.01
"IZUMO1",0.12,0.69
"IZUMO1R",0,0.46
"IZUMO2",0.07,0.07
"IZUMO3",0,1.06
"IZUMO4",2.52,1.21
"JADE1",4.01,2.72
"JADE2",3.41,4.71
"JADE3",2.17,3.73
"JADRR",0,0
"JAG1",5.04,4.92
"JAG2",1.61,3.88
"JAGN1",6.72,6.33
"JAK1",5.16,4.29
"JAK2",3.82,2.62
"JAK3",3.8,2.94
"JAKMIP1",0.21,0.14
"JAKMIP2",2.48,0.5
"JAKMIP2-AS1",2.9,1.63
"JAKMIP3",0.24,0.4
"JAM2",4.7,3.8
"JAM3",4.58,2.77
"JAML",3.13,1.25
"JARID2",3.75,3.47
"JARID2-AS1",0.42,1.69
"JAZF1",4.28,3.1
"JAZF1-AS1",0.39,0.08
"JCAD",3.71,4.8
"JCADP1",0,0.06
"JCHAIN",2.76,3.74
"JCHAINP1",0.4,0
"JDP2",4.58,4.22
"JHY",1.29,1.05
"JKAMP",5.16,3.52
"JKAMPP1",0,0
"JMJD1C",3.75,3.62
"JMJD1C-AS1",0.54,1.26
"JMJD4",2.66,2.94
"JMJD6",5.5,3.56
"JMJD7",0.06,0.87
"JMJD7-PLA2G4B",0.74,2.01
"JMJD8",4.42,5.62
"JMY",2.96,2.96
"JOSD1",6.47,5.36
"JOSD2",6.39,5.52
"JPH1",3.14,1.34
"JPH2",3.82,2.57
"JPH3",2.02,0.95
"JPH4",3.06,3.19
"JPT1",6.02,5.7
"JPT1P1",0,0.22
"JPT2",5.6,5.58
"JPX",0.2,0.54
"JRK",2.5,3.61
"JRKL",3.15,2.92
"JRKL-AS1",0,0
"JSRP1",0.67,0.06
"JTB",5.1,5.45
"JTBP1",0,0
"JUN",8.75,9.21
"JUNB",9.54,10.93
"JUND",8.54,9.88
"JUP",4.98,7.66
"KAAG1",0.22,1.09
"KALRN",1.96,2.13
"KANK1",3.02,3.96
"KANK1P1",0,0
"KANK2",5.5,6.34
"KANK3",0.85,3.72
"KANK4",1.63,1.26
"KANSL1",2.48,2.73
"KANSL1-AS1",3.82,1.83
"KANSL1L",2.52,2.35
"KANSL1L-AS1",0.53,0.6
"KANSL2",4.88,4.28
"KANSL3",4.11,4.66
"KANTR",1.46,1.91
"KARS1",6.76,5.84
"KARS1P1",0.06,0.24
"KARS1P2",0.07,0.31
"KARS1P3",0,0.07
"KASH5",0,0.15
"KAT14",3.64,4.45
"KAT2A",5.1,5.11
"KAT2B",4.11,2.88
"KAT5",3.2,3.65
"KAT6A",2.86,3.89
"KAT6B",1.34,2.49
"KAT7",3.51,2.89
"KAT7P1",0.21,0.21
"KAT8",4.71,4.68
"KATNA1",4.96,3.67
"KATNAL1",3.07,1.95
"KATNAL2",1.32,2.36
"KATNB1",4.58,4.55
"KATNBL1",4.27,3.29
"KATNBL1P1",0,0
"KATNBL1P2",0,0
"KATNBL1P3",0,0
"KATNBL1P4",0,0
"KATNBL1P5",0,0
"KATNBL1P6",0.21,0.28
"KATNIP",2.56,3.66
"KAZALD1",2.35,2.51
"KAZN",2.55,3.83
"KAZN-AS1",0.04,0.68
"KBTBD11",2.52,2.42
"KBTBD11-OT1",0.13,0.65
"KBTBD12",0.42,1.02
"KBTBD13",0,0.23
"KBTBD2",5.47,4.29
"KBTBD3",2.41,1.73
"KBTBD4",2.53,2.25
"KBTBD6",2.81,2.4
"KBTBD7",1.71,2.64
"KBTBD8",2.45,0.41
"KC6",0.2,0.2
"KC877373.1",1.09,0.47
"KC877392.1",0,0.45
"KC877982.1",0.22,0
"KCCAT198",0.19,0
"KCMF1",5.29,4.66
"KCNA1",1.28,0.17
"KCNA10",0,0
"KCNA2",0.65,0.12
"KCNA3",0.64,0.56
"KCNA4",0.52,0.33
"KCNA5",1.02,2.74
"KCNA6",1.23,0.72
"KCNA7",0.1,0.24
"KCNAB1",1.67,1.76
"KCNAB1-AS1",0,0.23
"KCNAB1-AS2",0,0.37
"KCNAB2",3.67,2.51
"KCNAB3",2.83,1.78
"KCNB1",0.81,2.49
"KCNB2",0.47,1.26
"KCNC1",0.84,0.59
"KCNC2",1.28,0.03
"KCNC3",1.97,4.84
"KCNC4",1.53,2.03
"KCND1",2.64,3.04
"KCND2",0.91,2.35
"KCND3",3.24,2.86
"KCND3-AS1",0,0.59
"KCND3-IT1",0,0.87
"KCNE1",1.07,0.22
"KCNE1B",0.79,0.4
"KCNE2",0.19,0
"KCNE3",2.75,3.69
"KCNE4",5.15,2.06
"KCNE5",0.95,1.04
"KCNF1",2.84,1.75
"KCNG1",3.41,2.38
"KCNG2",2.11,1.13
"KCNG3",0.32,0.2
"KCNG4",0,0
"KCNH1",0.62,0.06
"KCNH1-IT1",2.18,0
"KCNH2",3.48,4.32
"KCNH3",2.11,3.6
"KCNH4",0.66,0.43
"KCNH5",0.23,0.01
"KCNH6",0.13,0.18
"KCNH7",0.17,0
"KCNH7-AS1",0,0
"KCNH8",0.15,0.33
"KCNIP1",2.89,2.37
"KCNIP1-AS1",0.06,0.23
"KCNIP1-OT1",0.09,0
"KCNIP2",2.11,1.59
"KCNIP2-AS1",0.39,0.59
"KCNIP3",2.09,4.1
"KCNIP4",0.97,0.94
"KCNIP4-IT1",0,0.65
"KCNJ1",0.24,0.09
"KCNJ10",2.28,0.15
"KCNJ11",1.24,2.96
"KCNJ12",2.74,4.4
"KCNJ13",0.06,0.45
"KCNJ14",1.47,2.06
"KCNJ15",3.4,0.42
"KCNJ16",0.81,1.4
"KCNJ18",0,0
"KCNJ2",1.4,1.47
"KCNJ2-AS1",0.49,0.59
"KCNJ3",1.27,0.02
"KCNJ4",2.13,0.81
"KCNJ5",0.87,1.96
"KCNJ6",1.13,0.02
"KCNJ6-AS1",0,0
"KCNJ8",3.14,3.71
"KCNJ9",1.7,0.8
"KCNK1",2.71,2.8
"KCNK10",0.59,0
"KCNK12",0.62,0.52
"KCNK13",2.78,3.96
"KCNK15",1.57,5.7
"KCNK15-AS1",0.49,2
"KCNK16",0,0.06
"KCNK17",0.24,1.06
"KCNK18",0,0
"KCNK2",4.24,1.04
"KCNK3",2.01,3.18
"KCNK4",0,0
"KCNK4-TEX40",0,0.04
"KCNK5",0.59,5.07
"KCNK6",3.06,3.39
"KCNK7",1.08,1.34
"KCNK9",0.42,1.54
"KCNMA1",1.86,3.03
"KCNMA1-AS1",0.06,0.86
"KCNMA1-AS2",0,1.9
"KCNMA1-AS3",0.05,1.92
"KCNMB1",3.51,2.69
"KCNMB2",0.74,1.21
"KCNMB2-AS1",0.07,2.47
"KCNMB3",0.41,0.58
"KCNMB3P1",0.06,0
"KCNMB4",3.59,2.38
"KCNN1",2.12,1.29
"KCNN2",0.46,0.22
"KCNN3",1.4,4.26
"KCNN4",3.86,2.27
"KCNQ1",3.6,3.8
"KCNQ1-AS1",0,0.78
"KCNQ1DN",0.19,0.1
"KCNQ1OT1",0.12,2.53
"KCNQ2",1.72,0.02
"KCNQ2-AS1",0,0
"KCNQ3",2.33,2.29
"KCNQ4",0.33,4.63
"KCNQ5",1.52,1.47
"KCNQ5-AS1",0.02,0.32
"KCNRG",0.07,0.78
"KCNS1",2.51,0.81
"KCNS2",0.63,0.38
"KCNS3",3.45,2.35
"KCNT1",0.75,0.93
"KCNT2",0.86,0.93
"KCNU1",0.03,0.19
"KCNV1",0.85,0
"KCNV2",0.19,0.81
"KCP",0.69,0.94
"KCTD1",2.33,7.39
"KCTD10",4.73,4.28
"KCTD10P1",0,0
"KCTD11",4.37,4.77
"KCTD12",6.55,6.45
"KCTD13",4.03,3.2
"KCTD14",0.36,3.48
"KCTD15",3.58,4.28
"KCTD16",0.52,0.16
"KCTD17",5.63,4.98
"KCTD18",3.49,3.11
"KCTD19",0.17,0.29
"KCTD2",4.61,4.9
"KCTD20",6.02,4.43
"KCTD21",2.95,3.6
"KCTD21-AS1",1.9,1.51
"KCTD3",6.14,4.21
"KCTD4",2.92,0.17
"KCTD5",4.97,4.39
"KCTD5P1",0.42,0.54
"KCTD6",3.92,3.23
"KCTD7",3.09,2.29
"KCTD8",0.93,0.43
"KCTD9",5.43,2.59
"KCTD9P1",0.09,0.26
"KCTD9P2",0.68,0
"KCTD9P3",0.26,0
"KCTD9P4",0.48,0.18
"KCTD9P5",0.18,0.18
"KCTD9P6",0.11,0
"KDELC1P1",0.07,0.39
"KDELR1",8.33,9.18
"KDELR2",8.67,7.57
"KDELR3",6.97,4.75
"KDF1",0.17,5.49
"KDM1A",6.03,6.04
"KDM1B",3.9,3.35
"KDM2A",4.36,5.93
"KDM2B",2.29,3.51
"KDM2B-DT",0.99,0.89
"KDM3A",4.01,3.61
"KDM3AP1",0.17,0.39
"KDM3B",4.47,4.98
"KDM4A",3.37,4.15
"KDM4A-AS1",0.72,1.29
"KDM4B",3.2,3.79
"KDM4C",3.45,2.75
"KDM4D",1.32,1.31
"KDM4E",0.05,0.05
"KDM4F",0,0
"KDM5A",3.56,3.83
"KDM5B",2.82,3.27
"KDM5C",5.95,6.64
"KDM5C-IT1",0.14,1.46
"KDM5D",0.15,0
"KDM5DP1",0,0
"KDM6A",2.5,2.25
"KDM6B",5.04,5.75
"KDM7A",3.64,2.5
"KDM7A-DT",3.84,3.02
"KDM8",1.86,2.17
"KDR",2.46,2.92
"KDSR",5.17,3.73
"KEAP1",6.11,5.93
"KEL",0.12,0.53
"KERA",0.67,0.19
"KF455155.1",0,0
"KF456110.1",0.26,0
"KF456478.1",0,0
"KF459542.1",0,0
"KHDC1",2.46,1.76
"KHDC1L",0,0
"KHDC1P1",0.2,0
"KHDC3L",0.2,0
"KHDC4",4.76,4.56
"KHDRBS1",6.87,7.02
"KHDRBS2",0.68,0.37
"KHDRBS2-OT1",0.3,0
"KHDRBS3",4.48,2.66
"KHK",2.41,2.34
"KHNYN",3.51,4.58
"KHSRP",6.8,6.97
"KHSRPP1",0.43,0.18
"KIAA0040",4.4,4.53
"KIAA0087",0,0.17
"KIAA0100",4.8,5.9
"KIAA0232",4.91,3.52
"KIAA0319",1.05,0.42
"KIAA0319L",4.87,4.99
"KIAA0408",0.04,0.01
"KIAA0513",3.99,1.83
"KIAA0586",1.63,1.2
"KIAA0753",3.05,3.76
"KIAA0825",0.98,0.7
"KIAA0895",2.72,2.41
"KIAA0895L",3.84,3.56
"KIAA0895LP1",0,0.27
"KIAA0930",5.74,4.91
"KIAA1109",2.89,2.64
"KIAA1143",4.45,3.89
"KIAA1143P1",0.75,0.23
"KIAA1143P2",0,0
"KIAA1191",6.82,6.74
"KIAA1210",0.04,0.42
"KIAA1217",4.45,5.94
"KIAA1328",1.7,1.63
"KIAA1522",4.23,8.04
"KIAA1549",1.55,2.73
"KIAA1549L",1.19,0.96
"KIAA1586",3.71,1.89
"KIAA1614",1.42,2.41
"KIAA1614-AS1",0,0.81
"KIAA1671",1.79,4.95
"KIAA1671-AS1",0.21,2.55
"KIAA1755",2.82,2.26
"KIAA1841",2.54,1.74
"KIAA1958",1.99,2.18
"KIAA2012",0.3,0.21
"KIAA2012-AS1",0.81,0.07
"KIAA2013",6.52,7.27
"KIAA2026",3.07,3.78
"KIDINS220",3.98,4.02
"KIF11",3.3,4.4
"KIF12",0.11,4.27
"KIF13A",3.94,3.72
"KIF13B",3.84,3.17
"KIF14",1.71,1.9
"KIF15",2.23,2.73
"KIF16B",3.21,2.65
"KIF17",1.87,1.44
"KIF18A",2.48,2.8
"KIF18B",2.3,3.92
"KIF18BP1",0,0.1
"KIF19",0.11,0.5
"KIF1A",3.79,5.33
"KIF1B",4.03,4.59
"KIF1C",5.38,6.87
"KIF1C-AS1",0.48,1.22
"KIF20A",3.68,4.99
"KIF20B",2.12,2.88
"KIF21A",2.53,2.4
"KIF21B",1.8,1.22
"KIF22",3.79,4.9
"KIF23",3.33,4.07
"KIF24",1.36,3.15
"KIF25",0.04,0.18
"KIF25-AS1",0.37,0.1
"KIF26A",0.46,3.08
"KIF26B",3.63,2.14
"KIF26B-AS1",0.25,0.47
"KIF27",1.25,1.59
"KIF28P",0.15,0.55
"KIF2A",3.29,2.2
"KIF2B",0,0
"KIF2C",4.1,4.72
"KIF3A",2.98,2.78
"KIF3AP1",0,0
"KIF3B",5.4,5.12
"KIF3C",5.35,4.48
"KIF4A",3.66,3.57
"KIF4B",0.23,0.03
"KIF4CP",0,0
"KIF5A",4.45,0.36
"KIF5B",6.53,5.69
"KIF5C",2.12,2.4
"KIF5C-AS1",0,0.55
"KIF6",0.27,0.15
"KIF7",2.43,3.08
"KIF9",2.5,2.87
"KIF9-AS1",0.88,1.67
"KIFAP3",6.05,4.29
"KIFBP",3.77,4.28
"KIFC1",4.3,5.44
"KIFC2",3.74,5.16
"KIFC3",4.03,4.7
"KIN",2.76,2.77
"KIR2DL1",0,0.06
"KIR2DL3",0.19,0
"KIR2DL4",1.56,0.18
"KIR2DP1",0,0
"KIR2DS4",0.13,0
"KIR3DL1",0.06,0.06
"KIR3DL2",0.45,0
"KIR3DL3",0,0
"KIR3DP1",0,0
"KIR3DX1",0.14,0.04
"KIRREL1",5.37,5.87
"KIRREL1-IT1",0,2.46
"KIRREL2",1.79,1.07
"KIRREL3",1.87,1.14
"KIRREL3-AS1",0.18,0
"KIRREL3-AS2",0,0.21
"KIRREL3-AS3",0.18,0
"KISS1",0.97,0.99
"KISS1R",1.74,0.91
"KIT",1.02,1.69
"KITLG",3.82,2.3
"KIZ",4.36,3.25
"KIZ-AS1",0.1,0.51
"KL",0.48,0.68
"KLB",0.19,0.04
"KLC1",2.03,2.8
"KLC2",4.21,5.05
"KLC3",0.3,2.73
"KLC4",3.85,3.98
"KLF1",0.25,0.42
"KLF10",7.25,5.66
"KLF11",3.27,4.06
"KLF12",2.42,2.69
"KLF13",4.76,5.91
"KLF14",0.12,0.48
"KLF15",2.24,4.28
"KLF16",4.76,5.37
"KLF17",0.85,0.1
"KLF17P1",0,0.76
"KLF18",0,0
"KLF2",4.37,8.14
"KLF2P1",0,0.53
"KLF2P2",0.29,0.46
"KLF2P3",0.19,0
"KLF2P4",0,0.4
"KLF3",5.18,4.41
"KLF3-AS1",1.58,1.7
"KLF3P1",0,1.1
"KLF3P2",0,0
"KLF4",4.66,5.58
"KLF4P1",0,0.48
"KLF5",3.95,5.33
"KLF6",7.24,6.65
"KLF7",4.53,3.42
"KLF7-IT1",0.55,1.28
"KLF7P1",0,0
"KLF8",0.95,3.42
"KLF8P1",0,0
"KLF9",7.21,4.13
"KLHDC1",1.96,2.01
"KLHDC10",5,4.02
"KLHDC2",4.19,3.6
"KLHDC3",7.55,8.13
"KLHDC4",2.51,3.01
"KLHDC7A",0,0.65
"KLHDC7B",3.31,1.11
"KLHDC7B-DT",0.71,0
"KLHDC8A",3.09,6.28
"KLHDC8B",4.31,6.24
"KLHDC9",3.09,5.18
"KLHL1",0.03,0
"KLHL10",0.64,0.45
"KLHL11",1.35,1.18
"KLHL12",5.41,4.18
"KLHL13",2.77,0.79
"KLHL14",0.34,4.18
"KLHL15",3.13,2.81
"KLHL17",3.26,3.71
"KLHL18",3.28,3.33
"KLHL2",5.73,2.59
"KLHL20",4.44,3.41
"KLHL21",5.8,4.71
"KLHL22",4.09,4.98
"KLHL23",3.13,3.27
"KLHL24",4.03,4.62
"KLHL25",2.35,3.81
"KLHL26",3.52,3.84
"KLHL28",2.39,1.87
"KLHL29",1.44,3
"KLHL2P1",0.79,0
"KLHL3",1.27,2.23
"KLHL30",0.14,1.2
"KLHL30-AS1",0.07,0.32
"KLHL31",0.38,0.2
"KLHL32",1.03,0.89
"KLHL33",0.08,0.57
"KLHL34",0.44,0.17
"KLHL35",1.36,1.98
"KLHL36",3.26,3.9
"KLHL38",0.76,0.96
"KLHL4",4.6,1.29
"KLHL40",0.09,0.09
"KLHL41",0.16,0.38
"KLHL42",4.05,3.88
"KLHL5",5.54,3.06
"KLHL6",2.12,0.8
"KLHL6-AS1",0,0.21
"KLHL7",4.38,3.31
"KLHL7-DT",0.58,0.54
"KLHL8",3.72,2.13
"KLHL9",4.92,4.52
"KLK1",1.52,1.83
"KLK10",0.08,7.71
"KLK11",0,4.67
"KLK12",0,2.09
"KLK13",0.34,3.96
"KLK14",1.7,6.12
"KLK15",0,0.18
"KLK2",0.02,0.05
"KLK3",0,0.07
"KLK4",1.32,0.68
"KLK5",0.07,7.26
"KLK6",2.57,8
"KLK7",0.88,9.11
"KLK8",0,5.34
"KLK9",0,0
"KLKB1",0.61,0.34
"KLKP1",0.85,0.06
"KLLN",0.56,0.93
"KLRA1P",1.49,1.99
"KLRB1",1.13,0.92
"KLRC1",0.84,0
"KLRC2",1.42,0.07
"KLRC3",0,0
"KLRC4",0.22,0
"KLRC4-KLRK1",0.12,0
"KLRD1",1.86,0.34
"KLRF1",0.17,0.45
"KLRF2",0.79,0
"KLRG1",1.94,0.76
"KLRG2",0.15,2.69
"KLRK1",0.17,0.04
"KLRK1-AS1",0.25,0.23
"KMO",1.38,0.42
"KMT2A",2.02,3.59
"KMT2B",3.73,5.76
"KMT2C",3.03,4.5
"KMT2D",2.63,5.35
"KMT2E",4.19,4.31
"KMT2E-AS1",4.37,4.01
"KMT5A",4.4,4.63
"KMT5AP1",0.41,0.34
"KMT5AP2",0.45,0.46
"KMT5AP3",0,0
"KMT5B",3.81,3.91
"KMT5C",2.47,4.62
"KNCN",0,0
"KNDC1",1.89,2.44
"KNG1",0,0
"KNL1",1.74,2.18
"KNOP1",2.39,2.81
"KNOP1P1",0,0
"KNOP1P2",0,0.61
"KNOP1P3",0,0
"KNOP1P4",0,0.22
"KNOP1P5",0,0
"KNSTRN",4.24,4.43
"KNTC1",2.51,2.32
"KPNA1",3.68,3.17
"KPNA2",5.79,5.87
"KPNA2P1",0.07,0.07
"KPNA2P2",0.07,0.14
"KPNA2P3",0,0
"KPNA3",5.59,4.51
"KPNA4",5.01,3.89
"KPNA4P1",0.21,0.57
"KPNA5",2.37,1.52
"KPNA6",5.15,5.59
"KPNA7",0.18,0.74
"KPNB1",5.9,5.02
"KPNB1P1",0,0
"KPRP",0,0
"KPTN",3.5,3.39
"KRAS",4.13,4.07
"KRASP1",0,0
"KRBA1",4.26,4.4
"KRBA2",1.39,1.34
"KRBOX1",0.04,1.53
"KRBOX1-AS1",0,0.1
"KRBOX4",4.18,3.31
"KRCC1",6.21,5.28
"KREMEN1",5.59,4.75
"KREMEN2",0.78,4.97
"KRI1",4.31,4.65
"KRIT1",1.96,1.69
"KRR1",2.78,2.55
"KRR1P1",0.13,1.05
"KRT1",0.09,0.04
"KRT10",6.36,5.33
"KRT12",0.04,0.21
"KRT125P",0,0
"KRT126P",0,0
"KRT127P",0,0
"KRT128P",0,0
"KRT13",0.07,0.43
"KRT14",0.35,4.3
"KRT15",0.25,0.57
"KRT16",2.79,1.07
"KRT16P1",0,0
"KRT16P2",0,0.07
"KRT16P3",0,0
"KRT16P4",0,0
"KRT16P5",0,0
"KRT16P6",0,0.27
"KRT17",5.65,4.26
"KRT17P1",0.14,0.05
"KRT17P2",0.19,0.05
"KRT17P3",0.08,0
"KRT17P4",0,0.04
"KRT17P5",0,0
"KRT17P6",0.14,0.07
"KRT17P7",0,0.08
"KRT17P8",0,0
"KRT18",4.73,9.33
"KRT18P1",0.23,0.16
"KRT18P10",0.08,1.99
"KRT18P11",0.5,0.84
"KRT18P12",0,0
"KRT18P13",0.08,0.51
"KRT18P14",0,0.09
"KRT18P15",0.24,1.22
"KRT18P16",0.08,0.16
"KRT18P17",0.16,1.07
"KRT18P18",0,0.45
"KRT18P19",0.15,0.15
"KRT18P2",0,0
"KRT18P20",0.08,0.17
"KRT18P21",0.08,0.17
"KRT18P22",0.23,0.16
"KRT18P23",0,0.31
"KRT18P24",0.09,0.34
"KRT18P25",0,0.31
"KRT18P26",0,0.31
"KRT18P27",0.08,0
"KRT18P28",0.36,0.3
"KRT18P29",0.16,0.32
"KRT18P3",0,0.51
"KRT18P31",0.16,1.32
"KRT18P32",0,0.38
"KRT18P33",0.2,0.74
"KRT18P34",0.97,0.89
"KRT18P35",0,0.24
"KRT18P36",0.08,0
"KRT18P37",0,0
"KRT18P38",0,0.57
"KRT18P39",0,0.31
"KRT18P4",0.92,1.49
"KRT18P40",0.07,0.07
"KRT18P41",0,0.09
"KRT18P42",0,0
"KRT18P43",0,0.17
"KRT18P44",0,0.08
"KRT18P45",0,0.08
"KRT18P46",0,0
"KRT18P47",0,0.11
"KRT18P48",0.12,0.13
"KRT18P49",0,0
"KRT18P5",0.31,1.72
"KRT18P50",0,0
"KRT18P51",0.14,0.39
"KRT18P52",0,0.35
"KRT18P53",0,0
"KRT18P54",0,0.39
"KRT18P55",0,0.29
"KRT18P56",0,0.19
"KRT18P57",0.17,1.16
"KRT18P58",0,0.7
"KRT18P59",0.24,0.36
"KRT18P6",0,0
"KRT18P60",0,0.51
"KRT18P61",0,0.56
"KRT18P62",0,0.31
"KRT18P63",0.21,0.56
"KRT18P64",0,0.09
"KRT18P65",0.08,0.38
"KRT18P66",0,0
"KRT18P67",0,0
"KRT18P68",0,0.21
"KRT18P7",0.09,0.59
"KRT18P8",0,1.09
"KRT18P9",0,0
"KRT19",1.96,7.55
"KRT19P1",0,0.34
"KRT19P2",0,0.76
"KRT19P3",0,0
"KRT19P4",0,0.32
"KRT19P6",0,0
"KRT2",0.24,0
"KRT20",0,0
"KRT222",0.34,0.17
"KRT223P",0,0
"KRT23",0.61,2.85
"KRT24",0,0.11
"KRT25",0,0
"KRT26",0,0
"KRT27",0.06,0.12
"KRT28",0,0
"KRT3",0.18,0.18
"KRT31",0.25,0.07
"KRT32",0.2,0
"KRT33A",0,0
"KRT33B",0.13,0.13
"KRT34",0.38,0
"KRT35",0.12,0
"KRT36",0.22,0.17
"KRT37",0,0
"KRT38",0.16,0.3
"KRT39",0,0.16
"KRT4",0.21,1.09
"KRT40",0.05,0.05
"KRT41P",0.16,0
"KRT42P",0.02,0
"KRT43P",0,0
"KRT5",0.81,5.09
"KRT6A",0.5,3.81
"KRT6B",0.09,0.38
"KRT6C",0,0.07
"KRT7",1.83,7.81
"KRT7-AS",0.12,2.8
"KRT71",0.05,0
"KRT72",0.05,0
"KRT73",0,0
"KRT73-AS1",0,0
"KRT74",0,0.07
"KRT75",0.86,0.1
"KRT76",0,0
"KRT77",0,0.05
"KRT78",0.07,0.1
"KRT79",0.27,1.07
"KRT8",4.44,9.3
"KRT80",4.2,2.99
"KRT81",1.05,0.57
"KRT82",0.04,0
"KRT83",0,0.9
"KRT84",0,0
"KRT85",0,0
"KRT86",1.16,0.92
"KRT87P",0.18,2.57
"KRT89P",0,0
"KRT8P1",0,0.09
"KRT8P10",0.34,0.94
"KRT8P11",0.28,1.59
"KRT8P12",4.21,3.1
"KRT8P13",0,0.69
"KRT8P14",0.07,0.08
"KRT8P15",0,1.05
"KRT8P17",0.07,0
"KRT8P18",0,0.15
"KRT8P19",0,0.08
"KRT8P2",0,0.22
"KRT8P20",0,0.08
"KRT8P21",0,0.07
"KRT8P22",0,0
"KRT8P23",0,0.4
"KRT8P24",0.07,0.14
"KRT8P25",0,0
"KRT8P26",0.16,1.4
"KRT8P27",0,0
"KRT8P28",0,1.54
"KRT8P29",0.08,0.08
"KRT8P3",0.66,4.78
"KRT8P30",0.3,0.56
"KRT8P31",0,0.35
"KRT8P32",0,0.62
"KRT8P33",1.13,3.3
"KRT8P34",0,0
"KRT8P35",0.08,0.23
"KRT8P36",0.34,1.93
"KRT8P37",0,0.52
"KRT8P38",0,0.08
"KRT8P39",0.21,1.71
"KRT8P4",0.07,0.08
"KRT8P40",0.18,0.35
"KRT8P41",0,0.33
"KRT8P42",0.15,0.74
"KRT8P43",0.07,0.07
"KRT8P44",0,0.08
"KRT8P45",0.71,3.69
"KRT8P46",0.62,0.58
"KRT8P47",0,0
"KRT8P48",0.25,1.1
"KRT8P49",0,0.41
"KRT8P5",0,0.07
"KRT8P50",0,0
"KRT8P51",0,1.27
"KRT8P52",0.37,0.31
"KRT8P6",0,0
"KRT8P7",0,0.68
"KRT8P8",0.07,0.72
"KRT8P9",0,0.72
"KRT9",0.05,0
"KRT90P",0,0
"KRTAP1-1",0.12,0
"KRTAP1-3",0,0
"KRTAP1-4",0,0
"KRTAP1-5",1.16,0
"KRTAP10-1",0,0.09
"KRTAP10-10",0,0
"KRTAP10-11",0,0.09
"KRTAP10-12",0,0
"KRTAP10-13P",0,0.18
"KRTAP10-2",0,0.18
"KRTAP10-3",0,0.11
"KRTAP10-4",0,0
"KRTAP10-5",0,0
"KRTAP10-6",0,0
"KRTAP10-7",0,0
"KRTAP10-8",0,0.12
"KRTAP10-9",0,0
"KRTAP11-1",0,0
"KRTAP12-1",0,0
"KRTAP12-2",0,0
"KRTAP12-3",0,0
"KRTAP12-4",0,0.23
"KRTAP12-6P",0,0.36
"KRTAP13-1",0,0
"KRTAP13-2",0,0
"KRTAP13-3",0,0
"KRTAP13-4",0,0
"KRTAP13-5P",0,0
"KRTAP13-6P",0,0
"KRTAP15-1",0,0
"KRTAP16-1",0,0
"KRTAP17-1",0,0
"KRTAP19-1",0,0
"KRTAP19-10P",0,0
"KRTAP19-11P",0,0
"KRTAP19-2",0,0
"KRTAP19-3",0,0
"KRTAP19-4",0,0
"KRTAP19-5",0,0
"KRTAP19-6",0,0
"KRTAP19-7",0,0
"KRTAP19-8",0,0
"KRTAP19-9P",0,0
"KRTAP2-1",0,0
"KRTAP2-2",0,0
"KRTAP2-3",0.43,0.34
"KRTAP2-4",0,0
"KRTAP2-5P",0,0
"KRTAP20-1",0,0
"KRTAP20-2",0,0
"KRTAP20-3",0,0
"KRTAP20-4",0,0
"KRTAP21-1",0.24,0
"KRTAP21-2",0,0
"KRTAP21-3",0,0
"KRTAP21-4P",0,0
"KRTAP22-1",0,0
"KRTAP22-2",0,0
"KRTAP23-1",0,0
"KRTAP24-1",0,0
"KRTAP25-1",0,0
"KRTAP26-1",0,0
"KRTAP27-1",0,0
"KRTAP29-1",0,0
"KRTAP3-1",0.14,0
"KRTAP3-2",0.28,0
"KRTAP3-3",0,0
"KRTAP3-4P",0,0
"KRTAP4-1",0,0.7
"KRTAP4-11",0,0.09
"KRTAP4-12",0.1,0
"KRTAP4-16",0,0
"KRTAP4-17P",0,0
"KRTAP4-2",0,0
"KRTAP4-3",0,0
"KRTAP4-4",0,0
"KRTAP4-5",0,0
"KRTAP4-6",0,0
"KRTAP4-7",0,0
"KRTAP4-8",0,0
"KRTAP4-9",0,0
"KRTAP5-1",1.44,2.1
"KRTAP5-10",0.18,0.48
"KRTAP5-11",0,0
"KRTAP5-14P",0,0
"KRTAP5-2",0,0
"KRTAP5-3",0,0
"KRTAP5-4",0,0
"KRTAP5-5",0,0
"KRTAP5-6",0,0
"KRTAP5-7",0,0.15
"KRTAP5-8",0.18,0.18
"KRTAP5-9",0.09,0.84
"KRTAP5-AS1",0.24,1.01
"KRTAP6-1",0,0
"KRTAP6-2",0,0
"KRTAP6-3",0,0
"KRTAP7-1",0.15,0
"KRTAP8-1",0,0
"KRTAP8-2P",0,0
"KRTAP8-3P",0,0
"KRTAP9-1",0,0
"KRTAP9-10P",0,0
"KRTAP9-11P",0,0
"KRTAP9-12P",0,0
"KRTAP9-2",0,0
"KRTAP9-3",0,0
"KRTAP9-4",0,0
"KRTAP9-6",0,0
"KRTAP9-7",0,0
"KRTAP9-8",0,0
"KRTAP9-9",0,0
"KRTCAP2",1.95,1.99
"KRTCAP2P1",2.27,0.42
"KRTCAP3",1.74,5.54
"KRTDAP",0.16,1.2
"KSR1",2.05,3.82
"KSR1P1",0,0
"KSR2",0.23,0.78
"KTI12",3.93,2.71
"KTN1",4.42,3.7
"KTN1-AS1",0.78,0.8
