"","TCGA-02-0055","TCGA-04-1332"
"AC003006.1",0,0
"AC003009.1",0,0.15
"AC003035.1",0.64,0.19
"AC003035.2",0.91,3.42
"AC003043.1",0,0
"AC003043.2",0.03,0
"AC003044.1",0.07,0
"AC003070.1",0.22,0.59
"AC003070.2",0,0
"AC003071.1",0,0
"AC003072.1",2.88,3.69
"AC003072.2",0.3,0
"AC003077.1",0.1,0.68
"AC003080.1",0,1.01
"AC003084.1",0,0
"AC003086.1",0.79,0.41
"AC003087.1",0,0
"AC003092.1",2.64,0
"AC003092.2",0.23,0
"AC003093.1",0.16,0.3
"AC003098.1",0,0
"AC003101.1",0.22,1.13
"AC003101.2",1.03,1.37
"AC003101.3",0,0
"AC003102.1",1.71,2
"AC003109.1",0,0
"AC003657.1",0,0
"AC003659.1",0,0
"AC003666.1",0,0
"AC003669.1",0,0
"AC003681.1",0.31,0.63
"AC003682.1",0.58,0.42
"AC003684.1",0.06,0
"AC003685.1",0,0
"AC003686.1",0,0
"AC003687.1",0,0
"AC003688.1",0,0
"AC003688.2",0,0
"AC003950.1",0,0
"AC003956.1",0.28,0.91
"AC003957.1",0,0.23
"AC003958.1",0,0
"AC003958.2",0.05,0
"AC003965.1",1.66,0.45
"AC003965.2",0,0.91
"AC003973.1",0,0.02
"AC003973.2",0,0.25
"AC003975.1",0,0
"AC003982.1",0,0
"AC003984.1",0,0.03
"AC003985.1",0,0
"AC003986.1",0.07,0
"AC003986.2",0.53,0.06
"AC003986.3",0.41,0
"AC003988.1",0,0.18
"AC003989.1",0,0.63
"AC003989.2",0,0.94
"AC003991.1",0.04,0.02
"AC003992.1",0,0
"AC004000.1",0.23,1.39
"AC004004.1",0,0
"AC004006.1",0,0
"AC004009.1",0,0.08
"AC004009.2",0,0.4
"AC004009.3",0,0
"AC004012.1",0.36,0.2
"AC004014.1",0,0
"AC004014.2",0,0.02
"AC004022.1",0,0
"AC004022.2",0,0
"AC004023.1",0.06,0
"AC004024.1",0,0
"AC004034.1",0.93,0.54
"AC004039.1",0.06,0.72
"AC004047.1",0,0
"AC004052.1",0,0
"AC004053.1",0,0
"AC004054.1",0,0
"AC004057.1",2.87,2.69
"AC004062.1",0,0
"AC004063.1",0,0
"AC004066.1",0,0
"AC004067.1",2.54,2.15
"AC004069.1",2.33,0.65
"AC004069.2",0,0
"AC004069.3",0,0
"AC004076.1",0.2,0.54
"AC004076.2",0.7,1.44
"AC004079.1",0,0
"AC004079.2",0,0
"AC004079.3",0,0
"AC004079.4",0,0
"AC004079.5",0,0
"AC004080.1",0,0
"AC004080.10",0,0
"AC004080.11",0,0
"AC004080.12",0,0
"AC004080.13",0,0
"AC004080.14",0,0
"AC004080.15",0,0
"AC004080.16",0,0
"AC004080.17",0,0
"AC004080.2",0.19,0
"AC004080.3",0,0
"AC004080.4",0,0
"AC004080.5",0,0
"AC004080.6",0,0
"AC004080.7",0,0
"AC004080.8",0,0
"AC004080.9",0,0
"AC004083.1",0.23,0.09
"AC004112.1",0.72,0.53
"AC004125.1",0,0
"AC004129.1",0.37,0
"AC004129.2",0,0
"AC004129.3",0,0
"AC004130.1",1.05,2.69
"AC004130.2",2.06,2.53
"AC004134.1",0.75,1.03
"AC004147.1",0,0.6
"AC004147.2",0,0.27
"AC004147.3",0,0.27
"AC004147.4",0,0
"AC004147.5",0,0.37
"AC004148.1",1.51,2.53
"AC004156.1",0.66,0.55
"AC004158.1",1.78,0.1
"AC004160.1",0.64,0.58
"AC004160.2",0.18,0.63
"AC004217.1",0,0.39
"AC004217.2",0,0.44
"AC004221.1",1.06,0.24
"AC004223.1",0.65,0.36
"AC004223.2",0.51,0.19
"AC004223.3",0,0
"AC004223.4",0.94,0.3
"AC004224.1",0.74,0.86
"AC004224.2",0,0
"AC004231.1",0.13,0.36
"AC004231.4",0,0
"AC004232.1",0,0
"AC004232.2",1.3,0.67
"AC004233.1",0.59,0.17
"AC004233.2",2.66,3.26
"AC004233.3",0.45,0.95
"AC004233.4",0.28,2.78
"AC004241.1",0.79,0.57
"AC004241.2",1.02,1.36
"AC004241.3",1.69,1.23
"AC004241.4",0,0.7
"AC004241.5",0.46,1.14
"AC004253.1",1.93,1.28
"AC004253.2",0,0.26
"AC004257.1",0.87,0.88
"AC004263.1",0,0.65
"AC004263.2",1.41,2.87
"AC004264.1",2.33,1.25
"AC004264.2",0.34,1.26
"AC004381.1",0.28,0
"AC004381.2",0.85,0
"AC004381.3",0.16,2.81
"AC004381.4",0,0.79
"AC004383.1",1.97,0.85
"AC004386.1",0,0
"AC004386.2",0,0
"AC004386.3",0,0
"AC004386.4",0,0
"AC004386.5",0,0
"AC004386.6",0,0
"AC004408.1",0.18,0
"AC004408.2",0,0
"AC004415.1",0,0
"AC004448.1",0,0
"AC004448.2",0.09,0.17
"AC004448.3",0,0
"AC004448.4",0,0
"AC004448.5",0,0.21
"AC004449.1",1.27,0.24
"AC004453.1",6.89,6.13
"AC004453.2",0.36,0
"AC004461.1",0.25,0.97
"AC004461.2",0,1.35
"AC004464.1",0.24,0
"AC004466.1",0.1,0.78
"AC004466.2",0.8,2
"AC004466.3",0.64,1.51
"AC004467.1",0,0.31
"AC004470.1",0,0
"AC004470.2",0.49,0
"AC004471.1",1.81,1.3
"AC004471.2",0.44,0.21
"AC004477.1",0,0
"AC004477.2",1.03,1.91
"AC004485.1",0.66,0
"AC004486.1",0.73,0.74
"AC004490.1",0.04,0.08
"AC004491.1",0,0.73
"AC004492.1",0.69,1.03
"AC004494.1",0.11,0.58
"AC004494.2",0,0
"AC004510.1",0,0
"AC004510.2",0,0
"AC004522.1",0,0
"AC004522.2",0,0
"AC004522.3",0.15,0.16
"AC004522.4",0,0
"AC004522.5",0.77,1.05
"AC004528.1",0.16,0
"AC004528.2",0,0
"AC004540.1",0.72,1.61
"AC004540.2",0.55,1.78
"AC004542.1",0,0
"AC004542.2",0,0
"AC004542.3",0,0
"AC004542.4",0,0
"AC004542.5",0,0
"AC004542.6",0,0
"AC004543.1",0.5,0
"AC004549.1",0,0
"AC004551.1",0,0.35
"AC004554.1",0.17,0.5
"AC004584.1",0.19,0.51
"AC004584.2",0,0
"AC004584.3",0.05,0.22
"AC004585.1",0.98,0.23
"AC004585.2",0,0
"AC004590.1",0,0
"AC004593.1",0,0.28
"AC004593.2",0,0.04
"AC004594.1",0.12,0.47
"AC004596.1",0.79,1.12
"AC004597.1",0,0.19
"AC004623.1",0.28,0.2
"AC004637.1",0.56,1.7
"AC004672.1",0.05,0.42
"AC004672.2",0,1.39
"AC004674.1",0,0
"AC004678.1",0.11,1.33
"AC004678.2",0.11,1.21
"AC004687.1",1.62,1.54
"AC004687.2",0.07,0.06
"AC004687.3",0.02,0.15
"AC004690.1",0,0
"AC004690.2",0.05,0
"AC004691.1",0.19,1.1
"AC004691.2",0,0
"AC004692.1",0.62,0.45
"AC004692.2",0.09,0
"AC004696.1",0,0.17
"AC004696.2",0,1.12
"AC004702.1",0,1.38
"AC004704.1",0.18,0.18
"AC004706.1",0.12,0.34
"AC004706.2",0,0
"AC004706.3",0.34,2.02
"AC004707.1",0.62,0.15
"AC004765.1",0,1.27
"AC004771.1",0.23,1.04
"AC004771.2",1.41,1.93
"AC004771.3",0,0
"AC004771.4",0,1.95
"AC004774.1",0,0
"AC004774.2",0,0
"AC004774.3",0,0
"AC004775.1",0,0.7
"AC004777.1",0,0
"AC004784.1",0,0.28
"AC004788.1",0,0
"AC004790.1",0,0
"AC004790.2",0,0
"AC004792.1",0,0
"AC004801.1",1.54,0.72
"AC004801.2",0.91,1
"AC004801.3",0,0
"AC004801.4",0,0
"AC004801.5",0,0
"AC004801.6",1.12,1.18
"AC004801.7",0.04,0
"AC004803.1",1.45,1.72
"AC004805.1",0,0
"AC004805.2",0.4,0
"AC004805.3",0,0.81
"AC004808.1",0,0
"AC004808.2",0,0.26
"AC004812.1",0,1.05
"AC004812.2",2.65,2.35
"AC004816.1",1.59,2.91
"AC004816.2",3,1.9
"AC004817.1",0.28,0
"AC004817.2",0.3,0
"AC004817.3",2.96,0.2
"AC004817.4",0.09,0
"AC004817.5",0.12,0.02
"AC004825.1",0,0
"AC004825.2",2.67,2.94
"AC004825.3",0.13,0.24
"AC004828.1",0,0.67
"AC004828.2",0.05,0.09
"AC004830.1",0,0
"AC004830.2",0.12,0.82
"AC004832.1",0.09,0
"AC004832.2",0,0
"AC004832.3",0,0
"AC004832.4",1.39,1.53
"AC004832.5",2.21,1.82
"AC004832.6",0.41,1.52
"AC004834.1",0.18,0.31
"AC004835.1",0.07,0
"AC004836.1",0,0
"AC004837.1",0,0
"AC004837.2",0.61,1.64
"AC004837.3",0,0
"AC004837.4",0.42,0.43
"AC004839.1",3.83,2.4
"AC004839.2",0.94,1.06
"AC004840.1",0.14,1.47
"AC004840.2",0,1.24
"AC004846.1",0.41,0.36
"AC004846.2",0.37,0.59
"AC004847.1",1.66,1.44
"AC004852.1",0,0
"AC004852.2",0,0
"AC004852.3",0,0
"AC004854.1",0.52,0
"AC004854.2",2.99,1.02
"AC004858.1",0,0.4
"AC004862.1",0,0.06
"AC004863.1",1.28,2.01
"AC004865.1",0,1.06
"AC004866.1",0,0
"AC004866.2",0,0
"AC004869.1",0,0
"AC004869.2",0,0
"AC004870.1",0,0.23
"AC004870.2",0.13,0.2
"AC004870.3",0,0
"AC004870.4",0.55,0
"AC004875.1",0.16,0
"AC004877.1",0.18,0.16
"AC004877.2",2.07,2.04
"AC004879.1",0,0
"AC004882.1",0,0.14
"AC004882.2",0,0
"AC004882.3",0.76,0.38
"AC004884.1",1.29,1.67
"AC004884.2",0.51,1.44
"AC004888.1",0.19,4.03
"AC004890.1",2.79,1.19
"AC004890.2",0.78,1.16
"AC004890.3",0.19,1.09
"AC004893.1",0,0
"AC004893.2",0.11,0.36
"AC004895.1",0.46,0.4
"AC004898.1",0.14,1.5
"AC004899.1",0,0
"AC004899.2",0,0.03
"AC004900.1",0.45,0.81
"AC004908.1",1.99,1.37
"AC004908.2",2.72,1.84
"AC004908.3",1.3,1.24
"AC004910.1",0,0.14
"AC004911.1",0.12,0
"AC004912.1",0,1.31
"AC004917.1",0.41,0
"AC004918.1",0.38,0
"AC004918.3",2.41,2.12
"AC004920.1",0,0.4
"AC004921.1",2.15,0.71
"AC004921.2",0.21,0
"AC004922.1",0.12,0.23
"AC004923.1",0,0.85
"AC004923.2",0,0
"AC004923.3",0,0
"AC004923.4",1.35,1.94
"AC004925.1",0.33,0.12
"AC004930.1",0,0
"AC004936.1",0,0
"AC004938.1",0.32,0
"AC004938.2",1.51,1.42
"AC004941.1",0.1,0
"AC004941.2",0.42,0
"AC004943.1",0.58,1.01
"AC004943.2",1.38,1.53
"AC004943.3",0.33,0.72
"AC004944.1",0,0
"AC004945.1",0,0.48
